Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001000,Male,Yes,,Not Graduate,No,8399,2451.0,600.0,360.0,1.0,Rural,N
LP001001,Female,Yes,0,Graduate,Yes,6439,1676.0,452.0,360.0,1.0,Semiurban,Y
LP001002,Male,Yes,0,Graduate,,6701,1000.0,600.0,360.0,1.0,Semiurban,Y
LP001003,Male,Yes,0,Graduate,No,1959,1075.0,67.0,180.0,1.0,Urban,Y
LP001004,Male,Yes,0,Graduate,No,9201,1028.0,,360.0,1.0,Semiurban,Y
LP001005,Male,Yes,2,Graduate,No,5201,1413.0,600.0,180.0,1.0,Semiurban,N
LP001006,Male,Yes,1,Graduate,No,3563,1911.0,553.0,360.0,1.0,Rural,N
LP001007,Female,Yes,0,Graduate,No,4846,0.0,338.0,360.0,,Semiurban,Y
LP001008,Male,Yes,0,Graduate,No,1531,0.0,118.0,360.0,,Rural,N
LP001009,Male,No,3+,Graduate,No,5682,0.0,212.0,360.0,1.0,Semiurban,Y
LP001010,Male,Yes,0,Graduate,No,2397,1722.0,313.0,360.0,1.0,Rural,N
LP001011,Female,No,0,Graduate,No,1975,0.0,75.0,360.0,1.0,Semiurban,N
LP001012,Female,Yes,0,Graduate,No,1783,0.0,219.0,360.0,1.0,Semiurban,N
LP001013,Male,Yes,2,Graduate,Yes,8669,2866.0,600.0,360.0,1.0,Semiurban,Y
LP001014,Male,No,1,Graduate,No,3048,1958.0,600.0,360.0,1.0,Rural,N
LP001015,Male,No,0,Not Graduate,No,11161,3320.0,600.0,180.0,1.0,Rural,N
LP001016,Male,Yes,0,Graduate,No,3224,0.0,342.0,360.0,1.0,Urban,Y
LP001017,Male,Yes,1,Graduate,Yes,1596,1395.0,349.0,240.0,1.0,Urban,N
LP001018,Male,No,1,Graduate,Yes,2275,0.0,140.0,360.0,1.0,Rural,N
LP001019,Male,No,0,Graduate,No,9334,0.0,600.0,360.0,1.0,Semiurban,Y
LP001020,Male,Yes,3+,Graduate,No,4049,0.0,354.0,360.0,1.0,Semiurban,Y
LP001021,Male,Yes,0,Graduate,Yes,3200,0.0,276.0,36.0,1.0,Semiurban,N
LP001022,Male,Yes,0,Graduate,No,4895,0.0,600.0,360.0,1.0,Urban,Y
LP001023,Male,Yes,3+,Graduate,No,6009,1764.0,488.0,360.0,1.0,Rural,Y
LP001024,Male,Yes,0,Graduate,No,8694,0.0,,360.0,1.0,Rural,Y
LP001025,Male,Yes,,Graduate,No,10605,1024.0,600.0,360.0,1.0,Urban,Y
LP001026,Male,Yes,0,Graduate,Yes,3583,1610.0,172.0,360.0,1.0,Urban,N
LP001027,Male,No,0,Not Graduate,No,2006,0.0,203.0,360.0,1.0,Rural,N
LP001028,Male,Yes,3+,Not Graduate,No,3470,2246.0,,360.0,1.0,Urban,N
LP001029,Male,Yes,0,Graduate,No,5198,0.0,569.0,360.0,0.0,Rural,N
LP001030,Male,No,2,Not Graduate,No,2494,1384.0,383.0,360.0,1.0,Urban,N
LP001031,Male,No,,Graduate,No,2504,0.0,139.0,360.0,1.0,Semiurban,N
LP001032,Male,Yes,0,Graduate,No,5465,0.0,384.0,360.0,1.0,Rural,Y
LP001033,Female,Yes,0,Graduate,No,4319,0.0,600.0,300.0,,Semiurban,N
LP001034,Female,Yes,1,Not Graduate,No,4535,1111.0,572.0,360.0,1.0,Semiurban,N
LP001035,Female,Yes,0,Graduate,No,2821,1000.0,348.0,60.0,1.0,Semiurban,N
LP001036,Male,Yes,2,Graduate,No,3872,0.0,152.0,360.0,1.0,Semiurban,Y
LP001037,Male,Yes,0,Graduate,No,2554,1057.0,80.0,360.0,0.0,Urban,N
LP001038,Male,Yes,3+,Not Graduate,No,7586,1000.0,600.0,360.0,1.0,Rural,N
LP001039,Male,Yes,0,Graduate,No,8276,5073.0,600.0,180.0,1.0,Rural,N
LP001040,Male,Yes,2,Graduate,No,1500,2844.0,460.0,360.0,0.0,Semiurban,N
LP001041,Male,Yes,2,Graduate,No,2546,1181.0,,12.0,1.0,Semiurban,N
LP001042,Male,Yes,2,Graduate,,1811,1497.0,376.0,180.0,1.0,Urban,N
LP001043,Female,Yes,2,Graduate,No,3010,1000.0,600.0,360.0,1.0,Urban,N
LP001044,Male,Yes,2,Not Graduate,No,4229,0.0,408.0,360.0,1.0,Semiurban,N
